oem,modelYear,model,ft,variantName,ownerNo,km,City,price_cleaned,km_bucket
Honda,2018,Honda WR-V,Petrol,i-VTEC VX,1,46602,Bangalore,865000.0,40000-50000
Mahindra Ssangyong,2014,Mahindra Ssangyong Rexton,Diesel,RX7,2,50000,Bangalore,1000000.0,50000-60000
Maruti,2014,Maruti Swift,Diesel,VDI BSIV,2,104000,Bangalore,535000.0,100000-110000
Ford,2018,Ford Ecosport,Diesel,1.5 Diesel Titanium Plus BSIV,1,90000,Bangalore,975000.0,90000-100000
Maruti,2017,Maruti Baleno,Petrol,1.2 Zeta,1,50035,Bangalore,699000.0,50000-60000
Tata,2021,Tata Nexon,Petrol,XZ Plus DualTone Roof (O),1,80000,Bangalore,1150000.0,80000-90000
Hyundai,2015,Hyundai i20,Petrol,Sportz Option 1.2,2,90000,Bangalore,625000.0,90000-100000
Maruti,2015,Maruti Swift Dzire,Petrol,ZXI,1,25170,Bangalore,675000.0,20000-30000
Maruti,2021,Maruti Ciaz,Petrol,Delta BSVI,1,25022,Bangalore,893000.0,20000-30000
Maruti,2012,Maruti Swift,Diesel,RS VDI,2,100000,Bangalore,420000.0,100000-110000
Maruti,2020,Maruti Ciaz,Petrol,Delta BSVI,1,26367,Bangalore,941000.0,20000-30000
Hyundai,2015,Hyundai Elantra,Petrol,SX AT,2,76567,Bangalore,630000.0,70000-80000
Hyundai,2015,Hyundai Grand i10,Petrol,AT Asta,2,36459,Bangalore,525000.0,30000-40000
Maruti,2016,Maruti SX4 S Cross,Diesel,DDiS 200 Delta,1,93725,Bangalore,750000.0,90000-100000
Maruti,2015,Maruti Swift Dzire,Petrol,ZXI,1,43469,Bangalore,645000.0,40000-50000
BMW,2019,BMW X5,Diesel,xDrive 30d xLine,2,77000,Bangalore,6795000.0,70000-80000
Maruti,2018,Maruti Vitara Brezza,Diesel,LDi,1,100000,Bangalore,850000.0,100000-110000
Jaguar,2013,Jaguar XF,Diesel,2.2 Litre Luxury,1,77000,Bangalore,2095000.0,70000-80000
Audi,2013,Audi Q7,Diesel,3.0 TDI quattro,1,87101,Bangalore,2800000.0,80000-90000
Volkswagen,2021,Volkswagen Polo,Petrol,1.0 TSI Highline Plus,2,40771,Bangalore,999000.0,40000-50000
Honda,2018,Honda Jazz,Petrol,1.2 VX i VTEC,1,28000,Bangalore,825000.0,20000-30000
Hyundai,2020,Hyundai Venue,Petrol,SX Plus Turbo DCT,1,26000,Bangalore,1295000.0,20000-30000
Maruti,2012,Maruti Wagon R,Petrol,VXI BS IV,1,76032,Bangalore,329000.0,70000-80000
Audi,2019,Audi A3,Diesel,35 TDI Technology,1,24000,Bangalore,2290000.0,20000-30000
Hyundai,2020,Hyundai Venue,Diesel,SX Opt Diesel,2,65812,Bangalore,1026000.0,60000-70000
Skoda,2022,Skoda Kushaq,Petrol,1.0 TSI Style AT Anniversary Edition BSVI,1,10000,Bangalore,1700000.0,10000-20000
Maruti,2016,Maruti Baleno,Petrol,1.2 Zeta,1,39959,Bangalore,681000.0,30000-40000
Hyundai,2022,Hyundai Alcazar,Petrol,Signature 7-Seater AT,1,10000,Bangalore,1689999.9999999998,10000-20000
Maruti,2016,Maruti Alto K10,Petrol,VXI,3,65484,Bangalore,318000.0,60000-70000
Maruti,2017,Maruti Baleno,Petrol,1.2 Zeta,1,49174,Bangalore,688000.0,40000-50000
Volkswagen,2022,Volkswagen Taigun,Petrol,1.0 TSI Comfortline BSVI,1,20000,Bangalore,1300000.0,20000-30000
Maruti,2018,Maruti Swift Dzire,Petrol,AMT ZXI Plus BS IV,2,40000,Bangalore,645000.0,40000-50000
Hyundai,2022,Hyundai Alcazar,Petrol,Signature 7-Seater AT,1,30000,Bangalore,2000000.0,30000-40000
Maruti,2020,Maruti Swift,Petrol,ZXI,1,80000,Bangalore,620000.0,80000-90000
MG,2022,MG Astor,Petrol,Sharp BSVI,1,20000,Bangalore,1470000.0,20000-30000
Audi,2014,Audi A4,Diesel,2.0 TDI Premium Plus,1,90000,Bangalore,1475000.0,90000-100000
Renault,2020,Renault KWID,Petrol,Climber 1.0 MT Opt,1,40000,Bangalore,415000.00000000006,40000-50000
Honda,2016,Honda Jazz,Petrol,1.2 V i VTEC,1,63797,Bangalore,610000.0,60000-70000
Hyundai,2018,Hyundai Grand i10,Petrol,1.2 Kappa Magna BSIV,2,60216,Bangalore,560000.0,60000-70000
Maruti,2015,Maruti Alto K10,Petrol,VXI AMT,2,10000,Bangalore,425000.0,10000-20000
Maruti,2016,Maruti Baleno,Petrol,1.2 Zeta,1,38153,Bangalore,686000.0,30000-40000
Maruti,2015,Maruti Swift,Petrol,VXI,1,76485,Bangalore,517000.0,70000-80000
Maruti,2015,Maruti Wagon R,Petrol,VXI BS IV,2,40000,Bangalore,385000.0,40000-50000
Maruti,2016,Maruti Baleno,Petrol,1.2 Zeta,1,40623,Bangalore,675000.0,40000-50000
Mercedes-Benz,2018,Mercedes-Benz C-Class,Diesel,C 220d Avantgarde Edition C,2,18000,Bangalore,3300000.0,10000-20000
Maruti,2014,Maruti Swift,Petrol,VXI,1,88051,Bangalore,499000.0,80000-90000
Maruti,2022,Maruti Swift,Petrol,VXI,1,16522,Bangalore,774000.0,10000-20000
Jeep,2019,Jeep Compass,Diesel,2.0 Limited 4X4,2,70000,Bangalore,1475000.0,70000-80000
Hyundai,2019,Hyundai Venue,Diesel,SX Diesel BSIV,1,50000,Bangalore,1025000.0,50000-60000
Tata,2023,Tata Nexon,Petrol,XZ Plus LUXS DT BSVI,1,10000,Bangalore,1400000.0,10000-20000
Hyundai,2013,Hyundai EON,Petrol,D Lite Plus,2,57000,Bangalore,285000.0,50000-60000
Mahindra,2016,Mahindra XUV500,Diesel,W6 2WD,1,110000,Bangalore,1000000.0,110000-120000
Maruti,2019,Maruti Baleno,Petrol,1.2 Zeta,1,10000,Bangalore,780000.0,10000-20000
Maruti,2012,Maruti Swift,Petrol,VXI,2,50000,Bangalore,475000.0,50000-60000
Hyundai,2014,Hyundai Grand i10,Petrol,Magna,1,35469,Bangalore,555000.0,30000-40000
Honda,2017,Honda Jazz,Petrol,1.2 V i VTEC,2,40073,Bangalore,607000.0,40000-50000
Hyundai,2017,Hyundai Grand i10,Petrol,1.2 Kappa Sportz Option,2,65730,Bangalore,514000.0,60000-70000
Maruti,2016,Maruti Baleno,Petrol,1.2 Zeta,2,36184,Bangalore,705000.0,30000-40000
Maruti,2016,Maruti Baleno,Petrol,1.2 Zeta,1,69310,Bangalore,653000.0,60000-70000
Honda,2015,Honda City,Petrol,i VTEC CVT VX,1,55643,Bangalore,872000.0000000001,50000-60000
Hyundai,2017,Hyundai Grand i10,Petrol,1.2 Kappa Sportz Option AT,2,62803,Bangalore,564000.0,60000-70000
Volkswagen,2011,Volkswagen Polo,Diesel,Diesel Comfortline 1.2L,2,90000,Bangalore,370000.0,90000-100000
Maruti,2015,Maruti Swift,Petrol,VXI,1,68656,Bangalore,550000.0,60000-70000
