oem,modelYear,model,ft,ownerNo,City,price_cleaned,km_bucket
Ford,2018,Ford Ecosport,Petrol,1,Bangalore,844000.0,50000-60000
Hyundai,2016,Hyundai i20 Active,Diesel,1,Bangalore,764000.0,40000-50000
Maruti,2014,Maruti Ritz,Petrol,2,Bangalore,420000.0,50000-60000
Maruti,2016,Maruti Baleno,Diesel,1,Bangalore,684000.0,90000-100000
Maruti,2019,Maruti Baleno,Petrol,1,Bangalore,802999.9999999999,20000-30000
Hyundai,2010,Hyundai Santro Xing,Petrol,2,Bangalore,320000.0,70000-80000
Mercedes-Benz,2013,Mercedes-Benz E-Class,Diesel,2,Bangalore,1400000.0,70000-80000
Maruti,2016,Maruti Swift,Petrol,2,Bangalore,548000.0,40000-50000
Hyundai,2019,Hyundai Grand i10,Petrol,1,Bangalore,619000.0,20000-30000
Maruti,2018,Maruti Vitara Brezza,Diesel,2,Bangalore,1000000.0,50000-60000
Honda,2018,Honda WR-V,Petrol,1,Bangalore,865000.0,40000-50000
Mahindra Ssangyong,2014,Mahindra Ssangyong Rexton,Diesel,2,Bangalore,1000000.0,50000-60000
Maruti,2014,Maruti Swift,Diesel,2,Bangalore,535000.0,100000-110000
Ford,2018,Ford Ecosport,Diesel,1,Bangalore,975000.0,90000-100000
Maruti,2017,Maruti Baleno,Petrol,1,Bangalore,699000.0,50000-60000
Tata,2021,Tata Nexon,Petrol,1,Bangalore,1150000.0,80000-90000
Hyundai,2015,Hyundai i20,Petrol,2,Bangalore,625000.0,90000-100000
Maruti,2015,Maruti Swift Dzire,Petrol,1,Bangalore,675000.0,20000-30000
Maruti,2021,Maruti Ciaz,Petrol,1,Bangalore,893000.0,20000-30000
Maruti,2012,Maruti Swift,Diesel,2,Bangalore,420000.0,100000-110000
Maruti,2020,Maruti Ciaz,Petrol,1,Bangalore,941000.0,20000-30000
Hyundai,2015,Hyundai Elantra,Petrol,2,Bangalore,630000.0,70000-80000
Hyundai,2015,Hyundai Grand i10,Petrol,2,Bangalore,525000.0,30000-40000
Maruti,2016,Maruti SX4 S Cross,Diesel,1,Bangalore,750000.0,90000-100000
Maruti,2015,Maruti Swift Dzire,Petrol,1,Bangalore,645000.0,40000-50000
BMW,2019,BMW X5,Diesel,2,Bangalore,6795000.0,70000-80000
Maruti,2018,Maruti Vitara Brezza,Diesel,1,Bangalore,850000.0,100000-110000
Jaguar,2013,Jaguar XF,Diesel,1,Bangalore,2095000.0,70000-80000
Audi,2013,Audi Q7,Diesel,1,Bangalore,2800000.0,80000-90000
Volkswagen,2021,Volkswagen Polo,Petrol,2,Bangalore,999000.0,40000-50000
Honda,2018,Honda Jazz,Petrol,1,Bangalore,825000.0,20000-30000
Hyundai,2020,Hyundai Venue,Petrol,1,Bangalore,1295000.0,20000-30000
Maruti,2012,Maruti Wagon R,Petrol,1,Bangalore,329000.0,70000-80000
Audi,2019,Audi A3,Diesel,1,Bangalore,2290000.0,20000-30000
Hyundai,2020,Hyundai Venue,Diesel,2,Bangalore,1026000.0,60000-70000
Skoda,2022,Skoda Kushaq,Petrol,1,Bangalore,1700000.0,10000-20000
Maruti,2016,Maruti Baleno,Petrol,1,Bangalore,681000.0,30000-40000
Hyundai,2022,Hyundai Alcazar,Petrol,1,Bangalore,1689999.9999999998,10000-20000
Maruti,2016,Maruti Alto K10,Petrol,3,Bangalore,318000.0,60000-70000
Maruti,2017,Maruti Baleno,Petrol,1,Bangalore,688000.0,40000-50000
Volkswagen,2022,Volkswagen Taigun,Petrol,1,Bangalore,1300000.0,20000-30000
Maruti,2018,Maruti Swift Dzire,Petrol,2,Bangalore,645000.0,40000-50000
Hyundai,2022,Hyundai Alcazar,Petrol,1,Bangalore,2000000.0,30000-40000
Maruti,2020,Maruti Swift,Petrol,1,Bangalore,620000.0,80000-90000
MG,2022,MG Astor,Petrol,1,Bangalore,1470000.0,20000-30000
Audi,2014,Audi A4,Diesel,1,Bangalore,1475000.0,90000-100000
Renault,2020,Renault KWID,Petrol,1,Bangalore,415000.00000000006,40000-50000
Honda,2016,Honda Jazz,Petrol,1,Bangalore,610000.0,60000-70000
Hyundai,2018,Hyundai Grand i10,Petrol,2,Bangalore,560000.0,60000-70000
Maruti,2015,Maruti Alto K10,Petrol,2,Bangalore,425000.0,10000-20000
Maruti,2016,Maruti Baleno,Petrol,1,Bangalore,686000.0,30000-40000
Maruti,2015,Maruti Swift,Petrol,1,Bangalore,517000.0,70000-80000
Maruti,2015,Maruti Wagon R,Petrol,2,Bangalore,385000.0,40000-50000
Maruti,2016,Maruti Baleno,Petrol,1,Bangalore,675000.0,40000-50000
Mercedes-Benz,2018,Mercedes-Benz C-Class,Diesel,2,Bangalore,3300000.0,10000-20000
Maruti,2014,Maruti Swift,Petrol,1,Bangalore,499000.0,80000-90000
Maruti,2022,Maruti Swift,Petrol,1,Bangalore,774000.0,10000-20000
Jeep,2019,Jeep Compass,Diesel,2,Bangalore,1475000.0,70000-80000
Hyundai,2019,Hyundai Venue,Diesel,1,Bangalore,1025000.0,50000-60000
Tata,2023,Tata Nexon,Petrol,1,Bangalore,1400000.0,10000-20000
Hyundai,2013,Hyundai EON,Petrol,2,Bangalore,285000.0,50000-60000
Mahindra,2016,Mahindra XUV500,Diesel,1,Bangalore,1000000.0,110000-120000
